temple,instructionrooms,sealingrooms,baptismrooms,squarefootage,acreage,stakes,districts,all_units,elevation_ft,tower_spire,att_tower_spire,angelmoroni,announcement,groundbreaking,dedication,location,status,date,templeOrgId,templeNameId,city,stateRegion,country,sortDate,type,lat,long,prophet,interval,prophet_start,prophet_end
Detroit Michigan Temple,2,2,1,10700,6.34,10,1,11,796.5,1,Attached,Yes,1998-08-10,1998-10-10,1999-10-23,"Bloomfield Hills, Michigan, United States",OPERATING,23 October 1999,36583,detroit-michigan-temple,Bloomfield Hills, Michigan,United States,"October 23, 1999",NA,42.583645,-83.2454883,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Draper Utah Temple,4,5,1,58300,12,28,0,28,NA,1,Attached,Yes,2004-10-02,2006-08-05,2009-03-20,"Draper, Utah, United States",OPERATING,20 March 2009,75530,draper-utah-temple,Draper, Utah,United States,"March 20, 2009",NA,40.5247777,-111.8627989,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Durban South Africa Temple,1,1,1,19860,14.49,11,6,17,337.4,1,Attached,Yes,2011-10-01,2016-04-09,2020-02-16,"Durban, South Africa",OPERATING,16 February 2020,4012419,durban-south-africa-temple,Durban,,South Africa,"February 16, 2020",NA,-29.861825,31.009909,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Edmonton Alberta Temple,2,2,1,10700,1,8,0,8,NA,1,Attached,Yes,1998-08-11,1999-02-27,1999-12-11,"Edmonton, Alberta, Canada",OPERATING,11 December 1999,36558,edmonton-alberta-temple,Edmonton, Alberta,Canada,"December 11, 1999",NA,53.5462055,-113.491241,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Elko Nevada Temple,1,1,1,10000,5.2,NA,NA,NA,NA,1,Attached,No,2021-04-04,2022-05-07,NA,Location Not Available,CONSTRUCTION,Construction,4138367,elko-nevada-temple,,,United States,,United States,39.7837304,-100.445882,Russell M. Nelson,2018-01-14 UTC--2023-07-15 UTC,2018-01-14T00:00:00Z,2023-07-15T00:00:00Z
Ephraim Utah Temple,4,3,1,39000,9.16,NA,NA,NA,NA,2,Attached,No,2021-05-01,2022-08-27,NA,Location Not Available,CONSTRUCTION,Construction,4138990,ephraim-utah-temple,,,United States,,United States,39.7837304,-100.445882,Russell M. Nelson,2018-01-14 UTC--2023-07-15 UTC,2018-01-14T00:00:00Z,2023-07-15T00:00:00Z
Farmington New Mexico Temple,2,2,1,25000,6.62,NA,NA,NA,NA,1,Attached,No,2021-04-04,2022-04-30,NA,Location Not Available,CONSTRUCTION,Construction,4138364,farmington-new-mexico-temple,,,United States,,United States,39.7837304,-100.445882,Russell M. Nelson,2018-01-14 UTC--2023-07-15 UTC,2018-01-14T00:00:00Z,2023-07-15T00:00:00Z
Feather River California Temple,4,3,1,41484,9.4,NA,NA,NA,60.4,1,Attached,Yes,2018-10-07,2020-07-18,2023-10-08,"Yuba City, California, United States",CONSTRUCTION,Construction,4114412,feather-river-california-temple,Yuba City, California,United States,,NA,39.1404477,-121.6169108,Russell M. Nelson,2018-01-14 UTC--2023-07-15 UTC,2018-01-14T00:00:00Z,2023-07-15T00:00:00Z
Fort Collins Colorado Temple,2,3,1,42000,15.69,14,0,14,NA,1,Attached,Yes,2011-04-02,2013-08-24,2016-10-16,"Fort Collins, Colorado, United States",OPERATING,16 October 2016,4010939,fort-collins-colorado-temple,Fort Collins, Colorado,United States,"October 16, 2016",NA,40.5508527,-105.0668085,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Fort Lauderdale Florida Temple,2,3,1,30500,16.82,7,1,8,5.6,1,Attached,Yes,2009-10-03,2011-06-18,2014-05-04,"Davie, Florida, United States",OPERATING,4 May 2014,4007348,fort-lauderdale-florida-temple,Davie, Florida,United States,"May 4, 2014",NA,26.0628665,-80.2331038,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Fortaleza Brazil Temple,2,2,1,36000,10,24,3,27,202.2,1,Attached,Yes,2009-10-03,2011-11-15,2019-06-02,"Fortaleza, Ceará, Brazil",OPERATING,2 June 2019,4007351,fortaleza-brazil-temple,Fortaleza, Ceará,Brazil,"June 2, 2019",NA,-3.7304512,-38.5217989,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Frankfurt Germany Temple,4,4,1,32895,5.6,15,3,18,669.9,1,Detached,Yes,1981-04-01,1985-07-01,1987-08-28,"Friedrichsdorf, Hessen, Germany",OPERATING,28 August 1987,26,frankfurt-germany-temple,Friedrichsdorf, Hessen,Germany,"August 28, 1987",NA,50.2556672,8.6511395,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z
Freetown Sierra Leone Temple,2,2,1,18000,2.9,NA,NA,NA,97.2,1,Attached,No,2019-10-05,2022-03-19,NA,Location Not Available,CONSTRUCTION,Construction,4124790,freetown-sierra-leone-temple,,,International,,NA,NA,NA,Russell M. Nelson,2018-01-14 UTC--2023-07-15 UTC,2018-01-14T00:00:00Z,2023-07-15T00:00:00Z
Freiberg Germany Temple,2,2,1,21500,3.58,5,4,9,NA,1,Attached,Yes,1982-10-09,1983-04-23,1985-06-29,"Freiberg, Sachsen, Germany",OPERATING,29 June 1985,35,freiberg-germany-temple,Freiberg, Sachsen,Germany,"June 29, 1985",NA,50.9169415,13.3428889,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z
Fresno California Temple,2,2,1,10700,2.34,8,0,8,319.5,1,Attached,Yes,1999-01-08,1999-03-20,2000-04-09,"Fresno, California, United States",OPERATING,9 April 2000,37354,fresno-california-temple,Fresno, California,United States,"April 9, 2000",NA,36.7394421,-119.7848307,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Fukuoka Japan Temple,2,2,1,10700,1.25,4,5,9,81,1,Attached,Yes,1998-05-07,1999-03-20,2000-06-11,"Fukuoka-shi, Fukuoka, Japan",OPERATING,11 June 2000,36559,fukuoka-japan-temple,Fukuoka-shi, Fukuoka,Japan,"June 11, 2000",NA,33.5898988,130.4017509,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Gilbert Arizona Temple,3,7,1,85326,15.38,37,0,37,NA,1,Attached,Yes,2008-04-26,2010-11-13,2014-03-02,"Gilbert, Arizona, United States",OPERATING,2 March 2014,4004671,gilbert-arizona-temple,Gilbert, Arizona,United States,"March 2, 2014",NA,33.3527632,-111.789037,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Grand Junction Colorado Temple,2,2,1,25000,6.94,NA,NA,NA,NA,1,Attached,No,2021-04-04,2022-04-16,NA,Location Not Available,CONSTRUCTION,Construction,4138363,grand-junction-colorado-temple,,,United States,,United States,39.7837304,-100.445882,Russell M. Nelson,2018-01-14 UTC--2023-07-15 UTC,2018-01-14T00:00:00Z,2023-07-15T00:00:00Z
Guadalajara Mexico Temple,2,2,1,10700,2.69,18,5,23,NA,1,Attached,Yes,1999-04-14,1999-06-12,2001-04-29,"Zapopan, Jalisco, Mexico",OPERATING,29 April 2001,38682,guadalajara-mexico-temple,Zapopan, Jalisco,Mexico,"April 29, 2001",NA,20.7211203,-103.3913671,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Guatemala City Guatemala Temple,4,3,1,11610,1.4,33,8,41,NA,6,Detached,Yes,1981-04-01,1982-09-12,1984-12-14,"Guatemala City, Guatemala, Guatemala",OPERATING,14 December 1984,36,guatemala-city-guatemala-temple,Guatemala City, Guatemala,Guatemala,"December 14, 1984",NA,14.6222328,-90.5185188,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z
Guayaquil Ecuador Temple,4,3,1,45000,6.2,29,4,33,58.1,1,Attached,Yes,1982-03-31,1996-08-10,1999-08-01,"Guayaquil, Guayas, Ecuador",OPERATING,1 August 1999,37,guayaquil-ecuador-temple,Guayaquil, Guayas,Ecuador,"August 1, 1999",NA,-2.1900563,-79.8868741,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z
Halifax Nova Scotia Temple,2,2,1,10700,2,2,1,3,209.8,1,Attached,Yes,1998-05-07,1998-10-12,1999-11-14,"Dartmouth, Nova Scotia, Canada",OPERATING,14 November 1999,36560,halifax-nova-scotia-temple,Dartmouth, Nova Scotia,Canada,"November 14, 1999",NA,44.6799707,-63.5720232,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Hamilton New Zealand Temple,2,5,1,45251,35,31,3,34,131.2,1,Attached,No,1955-02-17,1955-12-21,1958-04-20,"Hamilton, Auckland, New Zealand",OPERATING,20 April 1958,45,hamilton-new-zealand-temple,Hamilton, Auckland,New Zealand,"April 20, 1958",NA,-37.7878809,175.281788,David O. McKay,1951-04-09 UTC--1970-01-18 UTC,1951-04-09T00:00:00Z,1970-01-18T00:00:00Z
Harare Zimbabwe Temple,2,2,1,17250,6.7,NA,NA,NA,NA,1,Attached,No,2016-04-03,2020-12-12,NA,"Harare, Zimbabwe",CONSTRUCTION,Construction,4086053,harare-zimbabwe-temple,Harare,,Zimbabwe,,NA,-17.831773,31.045686,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Hartford Connecticut Temple,2,2,1,32246,11.3,7,0,7,179.8,1,Attached,Yes,2010-10-02,2013-08-17,2016-11-20,"Farmington, Connecticut, United States",OPERATING,20 November 2016,4009692,hartford-connecticut-temple,Farmington, Connecticut,United States,"November 20, 2016",NA,44.6402434,-93.1435497,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Heber Valley Utah Temple,4,4,1,88000,17.9,NA,NA,NA,NA,2,Attached,No,2021-10-03,2022-10-08,NA,Location Not Available,ANNOUNCED,Announced,4142982,heber-valley-utah-temple,,,United States,,United States,39.7837304,-100.445882,Russell M. Nelson,2018-01-14 UTC--2023-07-15 UTC,2018-01-14T00:00:00Z,2023-07-15T00:00:00Z
Helena Montana Temple,1,1,1,9794,4.75,5,0,5,NA,1,Attached,No,2021-04-04,2021-06-26,2023-06-18,"Helena, Montana, United States",OPERATING,18 June 2023,4138361,helena-montana-temple,Helena, Montana,United States,"June 18, 2023",NA,46.5927425,-112.036277,Russell M. Nelson,2018-01-14 UTC--2023-07-15 UTC,2018-01-14T00:00:00Z,2023-07-15T00:00:00Z
Helsinki Finland Temple,2,2,1,16350,7.4,4,2,6,87.1,1,Attached,Yes,2000-04-02,2003-03-29,2006-10-22,"Espoo, Uusimaa, Finland",OPERATING,22 October 2006,43203,helsinki-finland-temple,Espoo, Uusimaa,Finland,"October 22, 2006",NA,60.2047672,24.6568435,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Hermosillo Sonora Mexico Temple,2,2,1,10769,1.54,9,7,16,758.8,1,Attached,Yes,1998-07-20,1998-12-05,2000-02-27,"Hermosillo, Sonora, Mexico",OPERATING,27 February 2000,36561,hermosillo-sonora-mexico-temple,Hermosillo, Sonora,Mexico,"February 27, 2000",NA,29.0948207,-110.9692202,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Hong Kong China Temple,2,2,1,51921,0.31,19,28,47,102,1,Attached,No,1992-10-03,1994-01-22,1996-05-26,"Kowloon Tong, Kowloon City, Hong Kong",OPERATING,26 May 1996,55,hong-kong-china-temple,Kowloon Tong, Kowloon City,Hong Kong,"May 26, 1996",NA,NA,NA,Ezra Taft Benson,1985-11-10 UTC--1994-05-30 UTC,1985-11-10T00:00:00Z,1994-05-30T00:00:00Z
Houston Texas Temple,2,3,1,33970,11,22,0,22,116.2,1,Attached,Yes,1997-09-30,1998-06-13,2000-08-26,"Spring, Texas, United States",OPERATING,26 August 2000,36562,houston-texas-temple,Spring, Texas,United States,"August 26, 2000",NA,30.0798826,-95.4172549,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Idaho Falls Idaho Temple,4,7,1,85624,8.28,29,0,29,NA,1,Attached,Yes,1937-03-03,1939-12-19,1945-09-23,"Idaho Falls, Idaho, United States",OPERATING,23 September 1945,38,idaho-falls-idaho-temple,Idaho Falls, Idaho,United States,"September 23, 1945",NA,43.4887907,-112.03628,Heber J. Grant,1918-11-23 UTC--1945-05-14 UTC,1918-11-23T00:00:00Z,1945-05-14T00:00:00Z
Indianapolis Indiana Temple,2,2,1,34000,18.11,10,0,10,849.9,1,Attached,Yes,2010-10-02,2012-09-29,2015-08-23,"Carmel, Indiana, United States",OPERATING,23 August 2015,4009690,indianapolis-indiana-temple,Carmel, Indiana,United States,"August 23, 2015",NA,39.9788017,-86.1189257,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Johannesburg South Africa Temple,4,3,1,19184,1,33,32,65,NA,6,Detached,Yes,1981-04-01,1982-11-27,1985-08-24,"Johannesburg, Gauteng, South Africa",OPERATING,24 August 1985,2,johannesburg-south-africa-temple,Johannesburg, Gauteng,South Africa,"August 24, 1985",NA,-26.205,28.049722,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z
Jordan River Utah Temple,6,16,1,148236,15,65,0,65,NA,1,Attached,Yes,1978-02-03,1979-06-09,1981-11-16,"South Jordan, Utah, United States",OPERATING,16 November 1981,39,jordan-river-utah-temple,South Jordan, Utah,United States,"November 16, 1981",NA,40.5584882,-111.9367107,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z
Kansas City Missouri Temple,2,3,1,32000,8.05,16,0,16,875.7,2,Attached,Yes,2008-10-04,2010-05-08,2012-05-06,"Kansas City, Missouri, United States",OPERATING,6 May 2012,4005413,kansas-city-missouri-temple,Kansas City, Missouri,United States,"May 6, 2012",NA,39.100105,-94.5781416,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Kinshasa Democratic Republic of the Congo Temple,1,1,1,12000,5,31,8,39,914,1,Attached,No,2011-10-01,2016-02-12,2019-04-14,"Kinshasa, Democratic Republic of the Congo",OPERATING,14 April 2019,4012418,kinshasa-democratic-republic-of-the-congo-temple,Kinshasa,,Democratic Republic of the Congo,"April 14, 2019",NA,-4.3217055,15.3125974,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Kona Hawaii Temple,2,2,1,10700,7.02,4,0,4,198.4,1,Attached,Yes,1998-05-07,1999-03-13,2000-01-23,"Kailua-Kona, Hawaii, United States",OPERATING,23 January 2000,36564,kona-hawaii-temple,Kailua-Kona, Hawaii,United States,"January 23, 2000",NA,19.641941,-155.996933,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Kyiv Ukraine Temple,2,2,1,22184,12.35,4,8,12,562.5,1,Attached,Yes,1998-07-20,2007-06-23,2010-08-29,"Kyevo-Sviatoshyns’ky Rayon, Kyiv, Ukraine",OPERATING,29 August 2010,36563,kyiv-ukraine-temple,Kyevo-Sviatoshyns’ky Rayon, Kyiv,Ukraine,"August 29, 2010",NA,NA,NA,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Laie Hawaii Temple,4,5,1,42100,11.4,14,1,15,29.2,1,Attached,No,1915-10-03,1916-02-08,1919-11-27,"Laie, Hawaii, United States",OPERATING,27 November 1919,1,laie-hawaii-temple,Laie, Hawaii,United States,"November 27, 1919",NA,21.6438449,-157.924442,Joseph F. Smith,1901-10-17 UTC--1918-11-19 UTC,1901-10-17T00:00:00Z,1918-11-19T00:00:00Z
Las Vegas Nevada Temple,4,6,1,80350,10.3,30,0,30,NA,6,Attached,Yes,1984-04-07,1985-11-30,1989-12-16,"Las Vegas, Nevada, United States",OPERATING,16 December 1989,4,las-vegas-nevada-temple,Las Vegas, Nevada,United States,"December 16, 1989",NA,36.1672559,-115.148516,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z
Layton Utah Temple,NA,NA,NA,87000,11.87,NA,NA,NA,NA,2,Attached,Yes,2018-04-01,2020-05-23,NA,"Layton, Utah, United States",CONSTRUCTION,Construction,4108674,layton-utah-temple,Layton, Utah,United States,,NA,41.0751048,-111.9741925,Russell M. Nelson,2018-01-14 UTC--2023-07-15 UTC,2018-01-14T00:00:00Z,2023-07-15T00:00:00Z
Lima Peru Los Olivos Temple,NA,NA,NA,22077,2.46,NA,NA,NA,332.4,1,Attached,No,2016-04-03,2019-06-08,2024-01-14,"Los Olivos, Lima, Peru",CONSTRUCTION,Construction,4086056,lima-peru-los-olivos-temple,Los Olivos, Lima,Peru,,NA,-11.9659853,-77.07307131998294,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Lima Peru Temple,4,3,1,9600,4.5,68,7,75,812.7,6,Detached,Yes,1981-04-01,1982-09-11,1986-01-10,"La Molina, Lima, Peru",OPERATING,10 January 1986,42,lima-peru-temple,La Molina, Lima,Peru,"January 10, 1986",NA,-12.0901768,-76.92233779667893,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z
Lindon Utah Temple,4,4,2,87005,11.87,NA,NA,NA,NA,2,Attached,No,2020-10-04,2022-04-23,NA,Location Not Available,CONSTRUCTION,Construction,4134472,lindon-utah-temple,,,United States,,United States,39.7837304,-100.445882,Russell M. Nelson,2018-01-14 UTC--2023-07-15 UTC,2018-01-14T00:00:00Z,2023-07-15T00:00:00Z
Lisbon Portugal Temple,2,1,1,23730,4.6,7,1,8,45.5,1,Attached,Yes,2010-10-02,2015-12-05,2019-09-15,"Lisbon, Portugal",OPERATING,15 September 2019,4009689,lisbon-portugal-temple,Lisbon,,Portugal,"September 15, 2019",NA,38.7077507,-9.1365919,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Logan Utah Temple,4,11,1,119619,9,42,0,42,NA,2,Attached,No,1876-10-06,1877-05-18,1884-05-17,"Logan, Utah, United States",OPERATING,17 May 1884,3,logan-utah-temple,Logan, Utah,United States,"May 17, 1884",NA,41.7313063,-111.8349145,Brigham Young,1844-06-27 UTC--1877-08-29 UTC,1844-06-27T00:00:00Z,1877-08-29T00:00:00Z
London England Temple,4,8,1,42652,32,19,1,20,196.8,1,Attached,Yes,1953-08-10,1955-08-27,1958-09-07,"Newchapel, Surrey, England",OPERATING,7 September 1958,41,london-england-temple,Newchapel, Surrey,England,"September 7, 1958",NA,NA,NA,David O. McKay,1951-04-09 UTC--1970-01-18 UTC,1951-04-09T00:00:00Z,1970-01-18T00:00:00Z
Los Angeles California Temple,4,10,1,190614,13,36,0,36,289.9,1,Attached,Yes,1937-03-06,1951-09-22,1956-03-11,"Los Angeles, California, United States",OPERATING,11 March 1956,40,los-angeles-california-temple,Los Angeles, California,United States,"March 11, 1956",NA,34.0536909,-118.242766,Heber J. Grant,1918-11-23 UTC--1945-05-14 UTC,1918-11-23T00:00:00Z,1945-05-14T00:00:00Z
Louisville Kentucky Temple,2,2,1,10700,3,9,0,9,785.7,1,Attached,Yes,1999-03-17,1999-05-29,2000-03-19,"Crestwood, Kentucky, United States",OPERATING,19 March 2000,38376,louisville-kentucky-temple,Crestwood, Kentucky,United States,"March 19, 2000",NA,41.6611444,-87.7525511,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Lubbock Texas Temple,2,2,1,16498,2.7,6,1,7,NA,1,Attached,Yes,2000-04-02,2000-11-04,2002-04-21,"Lubbock, Texas, United States",OPERATING,21 April 2002,43205,lubbock-texas-temple,Lubbock, Texas,United States,"April 21, 2002",NA,33.5855677,-101.8470215,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Lubumbashi Democratic Republic of the Congo Temple,2,2,1,16700,2.57,NA,NA,NA,NA,1,Attached,No,2020-04-05,2022-08-20,NA,Location Not Available,CONSTRUCTION,Construction,4130712,lubumbashi-democratic-republic-of-the-congo-temple,,,International,,NA,NA,NA,Russell M. Nelson,2018-01-14 UTC--2023-07-15 UTC,2018-01-14T00:00:00Z,2023-07-15T00:00:00Z
Madrid Spain Temple,4,4,1,45800,3.5,15,1,16,NA,1,Attached,Yes,1993-04-04,1996-06-11,1999-03-19,"Madrid, Madrid, Spain",OPERATING,19 March 1999,27,madrid-spain-temple,Madrid, Madrid,Spain,"March 19, 1999",NA,40.4167047,-3.7035825,Ezra Taft Benson,1985-11-10 UTC--1994-05-30 UTC,1985-11-10T00:00:00Z,1994-05-30T00:00:00Z
Managua Nicaragua Temple,2,2,1,25000,8.9,NA,NA,NA,817.9,1,Attached,No,2018-04-01,2022-11-26,NA,Location Not Available,ANNOUNCED,Announced,4108672,managua-nicaragua-temple,,,International,,International,NA,NA,Russell M. Nelson,2018-01-14 UTC--2023-07-15 UTC,2018-01-14T00:00:00Z,2023-07-15T00:00:00Z
Manaus Brazil Temple,2,2,1,32032,7.7,13,4,17,106.9,1,Attached,Yes,2007-05-23,2008-06-20,2012-06-10,"Manaus, Amazonas, Brazil",OPERATING,10 June 2012,79543,manaus-brazil-temple,Manaus, Amazonas,Brazil,"June 10, 2012",NA,-3.1316333,-59.9825041,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Manhattan New York Temple,2,2,1,20630,0.3,11,0,11,80.3,1,Attached,Yes,2002-08-07,2002-09-23,2004-06-13,"New York, New York, United States",OPERATING,13 June 2004,69208,manhattan-new-york-temple,New York, New York,United States,"June 13, 2004",NA,40.7127281,-74.0060152,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Manila Philippines Temple,4,3,1,26683,3.5,85,25,110,167.9,6,Detached,Yes,1981-04-01,1982-08-25,1984-09-25,"Quezon City, Metro Manila, Philippines",OPERATING,25 September 1984,59,manila-philippines-temple,Quezon City, Metro Manila,Philippines,"September 25, 1984",NA,14.6504951,121.0490906,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z
Manti Utah Temple,4,8,1,74792,27,23,0,23,NA,2,Attached,No,1875-06-25,1877-04-25,1888-05-21,"Manti, Utah, United States",RENOVATION,Renovation,43,manti-utah-temple,Manti, Utah,United States,,NA,39.2682951,-111.6368627,Brigham Young,1844-06-27 UTC--1877-08-29 UTC,1844-06-27T00:00:00Z,1877-08-29T00:00:00Z
McAllen Texas Temple,2,2,1,29732,10.6,NA,NA,NA,107.2,1,Attached,No,2019-10-05,2020-11-21,2023-10-08,"McAllen, Texas, United States",CONSTRUCTION,Construction,4124795,mcallen-texas-temple,McAllen, Texas,United States,,NA,26.204114,-98.2300605,Russell M. Nelson,2018-01-14 UTC--2023-07-15 UTC,2018-01-14T00:00:00Z,2023-07-15T00:00:00Z
