temple,instructionrooms,sealingrooms,baptismrooms,squarefootage,acreage,stakes,districts,all_units,elevation_ft,tower_spire,att_tower_spire,angelmoroni,announcement,groundbreaking,dedication,location,status,date,templeOrgId,templeNameId,city,stateRegion,country,sortDate,type,lat,long,prophet,interval,prophet_start,prophet_end
Regina Saskatchewan Temple,2,2,1,10700,1,2,0,2,NA,1,Attached,Yes,1998-08-03,1998-11-14,1999-11-14,"Regina, Saskatchewan, Canada",OPERATING,14 November 1999,36567,regina-saskatchewan-temple,Regina, Saskatchewan,Canada,"November 14, 1999",NA,50.44876,-104.61731,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Reno Nevada Temple,2,2,1,10700,7.9,10,0,10,NA,1,Attached,Yes,1999-04-12,1999-07-24,2000-04-23,"Reno, Nevada, United States",OPERATING,23 April 2000,38681,reno-nevada-temple,Reno, Nevada,United States,"April 23, 2000",NA,39.5261206,-119.8126581,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Rexburg Idaho Temple,4,5,1,57504,10,27,0,27,NA,1,Attached,Yes,2003-12-12,2005-07-30,2008-02-10,"Rexburg, Idaho, United States",OPERATING,10 February 2008,72126,rexburg-idaho-temple,Rexburg, Idaho,United States,"February 10, 2008",NA,43.8235163,-111.787022,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Richmond Virginia Temple,4,3,1,39202,12,13,0,13,280.7,1,Attached,Yes,2018-04-01,2020-04-11,2023-05-07,"Glen Allen, Virginia, United States",OPERATING,7 May 2023,4108675,richmond-virginia-temple,Glen Allen, Virginia,United States,"May 7, 2023",NA,37.316934,-90.02781236389168,Russell M. Nelson,2018-01-14 UTC--2023-07-15 UTC,2018-01-14T00:00:00Z,2023-07-15T00:00:00Z
Rio de Janeiro Brazil Temple,2,2,1,29966,9.44,17,3,20,9.4,1,Attached,Yes,2013-04-06,2017-03-04,2022-05-08,"Rio de Janeiro, Brazil",OPERATING,8 May 2022,4028611,rio-de-janeiro-brazil-temple,Rio de Janeiro,,Brazil,"May 8, 2022",NA,-22.9110137,-43.2093727,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Rome Italy Temple,2,3,1,41010,14.5,11,3,14,167.2,2,Attached,Yes,2008-10-04,2010-10-23,2019-03-10,"Rome, Roma, Italy",OPERATING,10 March 2019,4005415,rome-italy-temple,Rome, Roma,Italy,"March 10, 2019",NA,41.8933203,12.4829321,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Sacramento California Temple,2,4,1,19500,46,22,0,22,257,1,Attached,Yes,2001-04-21,2004-08-22,2006-09-03,"Rancho Cordova, California, United States",OPERATING,3 September 2006,45901,sacramento-california-temple,Rancho Cordova, California,United States,"September 3, 2006",NA,38.5890723,-121.302728,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Salt Lake Temple,5,23,2,403000,10,60,1,61,NA,6,Attached,Yes,1847-07-28,1853-02-14,1893-04-06,"Salt Lake City, Utah, United States",RENOVATION,Renovation,49,salt-lake-temple,Salt Lake City, Utah,United States,,NA,40.7596198,-111.886797,Brigham Young,1844-06-27 UTC--1877-08-29 UTC,1844-06-27T00:00:00Z,1877-08-29T00:00:00Z
Salta Argentina Temple,2,2,1,NA,17.72,NA,NA,NA,NA,1,Attached,Yes,2018-04-01,2020-11-04,NA,"Salta, Argentina",CONSTRUCTION,Construction,4108670,salta-argentina-temple,Salta,,Argentina,,NA,-24.7892946,-65.4103194,Russell M. Nelson,2018-01-14 UTC--2023-07-15 UTC,2018-01-14T00:00:00Z,2023-07-15T00:00:00Z
Salvador Brazil Temple,2,2,1,31530,4.6,NA,NA,NA,82.8,1,Attached,No,2018-10-07,2021-08-07,NA,"Salvador Bahia, Brazil",CONSTRUCTION,Construction,4114411,salvador-brazil-temple,Salvador Bahia,,Brazil,,NA,NA,NA,Russell M. Nelson,2018-01-14 UTC--2023-07-15 UTC,2018-01-14T00:00:00Z,2023-07-15T00:00:00Z
San Antonio Texas Temple,2,2,1,16800,5.5,21,1,22,NA,1,Attached,Yes,2001-06-24,2003-03-29,2005-05-22,"San Antonio, Texas, United States",OPERATING,22 May 2005,46179,san-antonio-texas-temple,San Antonio, Texas,United States,"May 22, 2005",NA,29.4246002,-98.4951405,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
San Diego California Temple,4,8,1,72000,7.2,16,0,16,338.3,10,Attached,Yes,1984-04-07,1988-02-27,1993-04-25,"San Diego, California, United States",OPERATING,25 April 1993,64,san-diego-california-temple,San Diego, California,United States,"April 25, 1993",NA,32.7174202,-117.1627728,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z
San José Costa Rica Temple,2,2,1,10700,1.93,10,1,11,NA,1,Attached,Yes,1999-03-17,1999-04-24,2000-06-04,"Belén, Heredia, Costa Rica",OPERATING,4 June 2000,38398,san-jose-costa-rica-temple,Belén, Heredia,Costa Rica,"June 4, 2000",NA,10.0299077,-85.5033043,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
San Juan Puerto Rico Temple,1,1,1,6988,2.97,5,1,6,223.2,1,Attached,No,2018-10-07,2019-05-04,2023-01-15,"San Juan, Puerto Rico",OPERATING,15 January 2023,4114420,san-juan-puerto-rico-temple,San Juan,,Puerto Rico,"January 15, 2023",NA,NA,NA,Russell M. Nelson,2018-01-14 UTC--2023-07-15 UTC,2018-01-14T00:00:00Z,2023-07-15T00:00:00Z
San Pedro Sula Honduras Temple,4,3,1,30000,9.03,NA,NA,NA,324,1,Attached,No,2019-04-07,2020-09-05,NA,"San Pedro Sula, Honduras",CONSTRUCTION,Construction,4119595,san-pedro-sula-honduras-temple,San Pedro Sula,,Honduras,,NA,15.5062156,-88.0248937,Russell M. Nelson,2018-01-14 UTC--2023-07-15 UTC,2018-01-14T00:00:00Z,2023-07-15T00:00:00Z
San Salvador El Salvador Temple,2,2,1,27986,6.5,22,0,22,NA,1,Attached,Yes,2007-11-18,2008-09-20,2011-08-21,"Antiguo Cuscatlán, La Libertad, El Salvador",OPERATING,21 August 2011,4004669,san-salvador-el-salvador-temple,Antiguo Cuscatlán, La Libertad,El Salvador,"August 21, 2011",NA,13.670259999999999,-89.24631832742003,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Santiago Chile Temple,2,3,1,20831,2.61,50,7,57,NA,1,Attached,Yes,1980-04-02,1981-05-30,1983-09-15,"Providencia, Santiago, Chile",OPERATING,15 September 1983,50,santiago-chile-temple,Providencia, Santiago,Chile,"September 15, 1983",NA,-33.4288379,-70.61133725589745,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z
Santo Domingo Dominican Republic Temple,4,4,1,67000,6.42,23,13,36,132.5,1,Attached,Yes,1993-11-16,1996-08-18,2000-09-17,"Santo Domingo, Distrito Nacional, Dominican Republic",OPERATING,17 September 2000,65,santo-domingo-dominican-republic-temple,Santo Domingo, Distrito Nacional,Dominican Republic,"September 17, 2000",NA,18.4801972,-69.942111,Ezra Taft Benson,1985-11-10 UTC--1994-05-30 UTC,1985-11-10T00:00:00Z,1994-05-30T00:00:00Z
São Paulo Brazil Temple,2,4,1,59246,1.85,47,0,47,NA,1,Attached,Yes,1975-03-01,1976-03-20,1978-10-30,"São Paulo, Sao Paulo, Brazil",OPERATING,30 October 1978,11,sao-paulo-brazil-temple,São Paulo, Sao Paulo,Brazil,"October 30, 1978",NA,-23.5506507,-46.6333824,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z
Sapporo Japan Temple,2,3,1,48480,9.8,2,2,4,65,5,Attached,Yes,2009-10-03,2011-10-22,2016-08-21,"Atsubetsu-ku Sapporo, Hokkaido, Japan",OPERATING,21 August 2016,4007350,sapporo-japan-temple,Atsubetsu-ku Sapporo, Hokkaido,Japan,"August 21, 2016",NA,NA,NA,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Saratoga Springs Utah Temple,4,6,1,97836,22.71,NA,NA,NA,NA,1,Attached,Yes,2017-04-02,2019-10-19,2023-08-13,"Saratoga Springs, Utah, United States",CONSTRUCTION,Construction,4098475,saratoga-springs-utah-temple,Saratoga Springs, Utah,United States,,NA,43.0821793,-73.7853915,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Seattle Washington Temple,4,13,1,110000,23.5,31,0,31,412.7,1,Attached,Yes,1975-11-15,1978-05-27,1980-11-17,"Bellevue, Washington, United States",OPERATING,17 November 1980,48,seattle-washington-temple,Bellevue, Washington,United States,"November 17, 1980",NA,47.6144219,-122.192337,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z
Seoul Korea Temple,4,3,1,28057,1,12,5,17,83.3,6,Detached,Yes,1981-04-01,1983-05-09,1985-12-14,"Seoul, Seoul-teukbyeolsi, South Korea",OPERATING,14 December 1985,51,seoul-korea-temple,Seoul, Seoul-teukbyeolsi,South Korea,"December 14, 1985",NA,37.5666791,126.9782914,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z
Smithfield Utah Temple,4,4,2,81000,13.3,NA,NA,NA,NA,2,Attached,No,2021-04-04,2022-06-18,NA,Location Not Available,CONSTRUCTION,Construction,4138369,smithfield-utah-temple,,,United States,,United States,39.7837304,-100.445882,Russell M. Nelson,2018-01-14 UTC--2023-07-15 UTC,2018-01-14T00:00:00Z,2023-07-15T00:00:00Z
Snowflake Arizona Temple,2,2,1,18621,7.5,14,0,14,NA,1,Attached,Yes,2000-04-02,2000-09-23,2002-03-03,"Snowflake, Arizona, United States",OPERATING,3 March 2002,43206,snowflake-arizona-temple,Snowflake, Arizona,United States,"March 3, 2002",NA,34.5114704,-110.079608,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Spokane Washington Temple,2,2,1,10700,2,16,0,16,NA,1,Attached,Yes,1998-08-13,1998-10-10,1999-08-21,"Spokane, Washington, United States",OPERATING,21 August 1999,36582,spokane-washington-temple,Spokane, Washington,United States,"August 21, 1999",NA,47.6571934,-117.42351,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
St. George Utah Temple,3,18,1,142000,6,37,0,37,NA,1,Attached,No,1871-01-31,1871-11-09,1877-04-06,"St. George, Utah, United States",RENOVATION,Renovation,10,st.-george-utah-temple,St. George, Utah,United States,,NA,37.104153,-113.5841313,Brigham Young,1844-06-27 UTC--1877-08-29 UTC,1844-06-27T00:00:00Z,1877-08-29T00:00:00Z
St. Louis Missouri Temple,4,4,1,58749,14,10,0,10,581.8,1,Attached,Yes,1990-12-29,1993-10-30,1997-06-01,"St. Louis, Missouri, United States",OPERATING,1 June 1997,20,st.-louis-missouri-temple,St. Louis, Missouri,United States,"June 1, 1997",NA,38.6280278,-90.1910154,Ezra Taft Benson,1985-11-10 UTC--1994-05-30 UTC,1985-11-10T00:00:00Z,1994-05-30T00:00:00Z
St. Paul Minnesota Temple,2,2,1,10700,7.5,9,0,9,NA,1,Attached,Yes,1998-07-29,1998-09-26,2000-01-09,"Oakdale, Minnesota, United States",OPERATING,9 January 2000,36568,st.-paul-minnesota-temple,Oakdale, Minnesota,United States,"January 9, 2000",NA,44.985624,-92.9645794,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Star Valley Wyoming Temple,1,1,1,18609,43.6,5,0,5,NA,1,Attached,Yes,2011-10-01,2015-04-25,2016-10-30,"Afton, Wyoming, United States",OPERATING,30 October 2016,4012421,star-valley-wyoming-temple,Afton, Wyoming,United States,"October 30, 2016",NA,44.9027452,-92.7835373,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Stockholm Sweden Temple,4,3,1,16366,4.47,5,2,7,138.3,6,Detached,Yes,1981-04-01,1984-03-17,1985-07-02,"Vasterhaninge, Sweden",RENOVATION,Renovation,66,stockholm-sweden-temple,Vasterhaninge,,Sweden,,NA,59.1221593,18.1085969,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z
Suva Fiji Temple,2,2,1,12755,4.7,9,20,29,308.3,1,Attached,Yes,1998-05-07,1999-05-08,2000-06-18,"Samabula, Suva, Fiji",OPERATING,18 June 2000,36569,suva-fiji-temple,Samabula, Suva,Fiji,"June 18, 2000",NA,-18.1173104,178.4426504,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Sydney Australia Temple,2,3,1,30677,3,11,2,13,418.2,1,Attached,Yes,1980-04-02,1982-08-13,1984-09-20,"Carlingford, New South Wales, Australia",OPERATING,20 September 1984,9,sydney-australia-temple,Carlingford, New South Wales,Australia,"September 20, 1984",NA,-33.7744947,151.0475215,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z
Syracuse Utah Temple,4,4,2,88886,12.27,NA,NA,NA,NA,1,Attached,No,2020-04-05,2021-06-12,NA,"Syracuse, Utah, United States",CONSTRUCTION,Construction,4130690,syracuse-utah-temple,Syracuse, Utah,United States,,NA,43.0481221,-76.1474244,Russell M. Nelson,2018-01-14 UTC--2023-07-15 UTC,2018-01-14T00:00:00Z,2023-07-15T00:00:00Z
Taipei Taiwan Temple,4,3,1,9945,0.5,16,0,16,16,6,Detached,Yes,1982-03-31,1982-08-27,1984-11-17,"Taipei, Taipei, Taiwan",OPERATING,17 November 1984,53,taipei-taiwan-temple,Taipei, Taipei,Taiwan,"November 17, 1984",NA,25.0375198,121.5636796,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z
Tallahassee Florida Temple,2,2,1,29000,4.97,NA,NA,NA,204.4,1,Attached,No,2020-04-05,2021-06-05,NA,"Tallahassee, Florida, United States",CONSTRUCTION,Construction,4130711,tallahassee-florida-temple,Tallahassee, Florida,United States,,NA,30.4380832,-84.2809332,Russell M. Nelson,2018-01-14 UTC--2023-07-15 UTC,2018-01-14T00:00:00Z,2023-07-15T00:00:00Z
Tampico Mexico Temple,2,2,1,10700,2.96,11,2,13,73,1,Attached,Yes,1998-07-08,1998-11-28,2000-05-20,"Ciudad Madero, Tamaulipas, Mexico",OPERATING,20 May 2000,36570,tampico-mexico-temple,Ciudad Madero, Tamaulipas,Mexico,"May 20, 2000",NA,22.2646707,-97.8397091,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Taylorsville Utah Temple,4,4,1,70460,7.5,NA,NA,NA,NA,1,Attached,No,2019-10-05,2020-10-31,NA,"Taylorsville, Utah, United States",CONSTRUCTION,Construction,4124797,taylorsville-utah-temple,Taylorsville, Utah,United States,,NA,40.6676347,-111.9388027,Russell M. Nelson,2018-01-14 UTC--2023-07-15 UTC,2018-01-14T00:00:00Z,2023-07-15T00:00:00Z
Tegucigalpa Honduras Temple,2,2,1,28254,13.6,43,9,52,NA,1,Attached,Yes,2006-06-09,2009-09-12,2013-03-17,"Comayagüela, Francisco Morazán, Honduras",OPERATING,17 March 2013,77556,tegucigalpa-honduras-temple,Comayagüela, Francisco Morazán,Honduras,"March 17, 2013",NA,14.0980079,-87.2099671,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
The Gila Valley Arizona Temple,2,2,1,18561,17,6,0,6,NA,1,Attached,Yes,2008-04-26,2009-02-14,2010-05-23,"Central, Arizona, United States",OPERATING,23 May 2010,4004670,the-gila-valley-arizona-temple,Central, Arizona,United States,"May 23, 2010",NA,37.4166454,-113.6244052,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
The Hague Netherlands Temple,2,2,1,10500,2.7,4,0,4,-3.5,1,Attached,Yes,1999-08-16,2000-08-26,2002-09-08,"Zoetermeer, Zuid-Holland, Netherlands",OPERATING,8 September 2002,40705,the-hague-netherlands-temple,Zoetermeer, Zuid-Holland,Netherlands,"September 8, 2002",NA,52.06228915,4.487754536970652,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Tijuana Mexico Temple,2,2,1,33367,9.4,10,0,10,172.4,1,Attached,Yes,2010-10-02,2012-08-18,2015-12-13,"Tijuana, Baja California, Mexico",OPERATING,13 December 2015,4009693,tijuana-mexico-temple,Tijuana, Baja California,Mexico,"December 13, 2015",NA,32.5317397,-117.0195295,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Tokyo Japan Temple,2,5,1,53997,1.22,16,4,20,80.9,1,Attached,Yes,1975-08-09,1978-04-10,1980-10-27,"Minato-ku, Tokyo, Japan",OPERATING,27 October 1980,15,tokyo-japan-temple,Minato-ku, Tokyo,Japan,"October 27, 1980",NA,35.6432274,139.7400553,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z
Toronto Ontario Temple,4,6,1,57982,13.4,8,1,9,797.8,1,Attached,Yes,1984-04-07,1987-10-10,1990-08-25,"Brampton, Ontario, Canada",OPERATING,25 August 1990,67,toronto-ontario-temple,Brampton, Ontario,Canada,"August 25, 1990",NA,43.685832,-79.7599366,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z
Torreón Mexico Temple,1,1,1,10000,0.89,NA,NA,NA,NA,1,Attached,No,2021-04-04,2022-12-10,NA,Location Not Available,ANNOUNCED,Announced,4138360,torreon-mexico-temple,,,International,,International,NA,NA,Russell M. Nelson,2018-01-14 UTC--2023-07-15 UTC,2018-01-14T00:00:00Z,2023-07-15T00:00:00Z
Trujillo Peru Temple,2,2,1,28200,8.9,29,6,35,126.2,1,Attached,Yes,2008-12-13,2011-09-14,2015-06-21,"Trujillo, La Libertad, Peru",OPERATING,21 June 2015,4005658,trujillo-peru-temple,Trujillo, La Libertad,Peru,"June 21, 2015",NA,-8.1116778,-79.0287742,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Tucson Arizona Temple,2,2,1,38216,7,9,0,9,NA,1,Attached,Yes,2012-10-06,2015-10-17,2017-08-13,"Tucson, Arizona, United States",OPERATING,13 August 2017,4017571,tucson-arizona-temple,Tucson, Arizona,United States,"August 13, 2017",NA,32.2228765,-110.9748477,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Tuxtla Gutiérrez Mexico Temple,2,2,1,10700,1.56,7,6,13,NA,1,Attached,Yes,1999-02-25,1999-03-20,2000-03-12,"Tuxtla Gutiérrez, Chiapas, Mexico",OPERATING,12 March 2000,37916,tuxtla-gutierrez-mexico-temple,Tuxtla Gutiérrez, Chiapas,Mexico,"March 12, 2000",NA,16.753801,-93.115959,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Twin Falls Idaho Temple,2,3,1,31245,9.1,16,0,16,NA,1,Attached,Yes,2004-10-02,2006-04-15,2008-08-24,"Twin Falls, Idaho, United States",OPERATING,24 August 2008,75531,twin-falls-idaho-temple,Twin Falls, Idaho,United States,"August 24, 2008",NA,42.5704456,-114.4602554,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Urdaneta Philippines Temple,2,3,1,NA,15.26,NA,NA,NA,93.4,1,Attached,Yes,2010-10-02,2019-01-16,NA,"Urdaneta, Pangasinan, Philippines",CONSTRUCTION,Construction,4009691,urdaneta-philippines-temple,Urdaneta, Pangasinan,Philippines,,NA,15.9759995,120.5668992,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Vancouver British Columbia Temple,2,2,1,28165,11.6,8,1,9,251.4,1,Attached,Yes,2006-05-25,2007-08-04,2010-05-02,"Langley, British Columbia, Canada",OPERATING,2 May 2010,4007091,vancouver-british-columbia-temple,Langley, British Columbia,Canada,"May 2, 2010",NA,49.1039289,-122.657047,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Veracruz Mexico Temple,2,2,1,10700,3.39,13,1,14,48.6,1,Attached,Yes,1999-04-14,1999-05-29,2000-07-09,"Boca del Rio, Veracruz, Mexico",OPERATING,9 July 2000,38680,veracruz-mexico-temple,Boca del Rio, Veracruz,Mexico,"July 9, 2000",NA,27.450836,-106.2151404,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Vernal Utah Temple,2,3,1,38771,1.6,14,0,14,NA,2,Attached,Yes,1994-02-13,1995-05-13,1997-11-02,"Vernal, Utah, United States",OPERATING,2 November 1997,16,vernal-utah-temple,Vernal, Utah,United States,"November 2, 1997",NA,40.4556825,-109.528474,Ezra Taft Benson,1985-11-10 UTC--1994-05-30 UTC,1985-11-10T00:00:00Z,1994-05-30T00:00:00Z
Villahermosa Mexico Temple,2,2,1,10700,1.36,6,3,9,62.1,1,Attached,Yes,1998-10-30,1999-01-09,2000-05-21,"Villahermosa, Tabasco, Mexico",OPERATING,21 May 2000,36991,villahermosa-mexico-temple,Villahermosa, Tabasco,Mexico,"May 21, 2000",NA,18.0018152,-92.9330401483751,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Washington D.C. Temple,6,10,1,156558,52,25,0,25,289.4,6,Attached,Yes,1968-11-15,1968-12-07,1974-11-19,"Kensington, Maryland, United States",OPERATING,19 November 1974,54,washington-d.c.-temple,Kensington, Maryland,United States,"November 19, 1974",NA,45.778015,-95.696159,David O. McKay,1951-04-09 UTC--1970-01-18 UTC,1951-04-09T00:00:00Z,1970-01-18T00:00:00Z
Willamette Valley Oregon Temple,2,2,1,30000,10.5,NA,NA,NA,429.4,1,Attached,No,2021-04-04,2022-10-29,NA,Location Not Available,ANNOUNCED,Announced,4138366,willamette-valley-oregon-temple,,,United States,,United States,39.7837304,-100.445882,Russell M. Nelson,2018-01-14 UTC--2023-07-15 UTC,2018-01-14T00:00:00Z,2023-07-15T00:00:00Z
Winnipeg Manitoba Temple,1,1,1,16100,7.7,2,0,2,766.2,1,Attached,Yes,2011-04-02,2016-12-03,2021-10-31,"Winnipeg, Manitoba, Canada",OPERATING,31 October 2021,4010937,winnipeg-manitoba-temple,Winnipeg, Manitoba,Canada,"October 31, 2021",NA,49.8955367,-97.1384584,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Winter Quarters Nebraska Temple,2,2,1,16000,1.92,11,0,11,NA,1,Attached,Yes,1999-06-14,1999-11-28,2001-04-22,"Omaha, Nebraska, United States",OPERATING,22 April 2001,40202,winter-quarters-nebraska-temple,Omaha, Nebraska,United States,"April 22, 2001",NA,41.2587459,-95.9383758,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Yigo Guam Temple,1,1,1,6861,5.8,2,1,3,487.1,1,Attached,No,2018-10-07,2019-05-04,2022-05-22,"Yigo, Guam",OPERATING,22 May 2022,4114415,yigo-guam-temple,Yigo,,Guam,"May 22, 2022",NA,NA,NA,Russell M. Nelson,2018-01-14 UTC--2023-07-15 UTC,2018-01-14T00:00:00Z,2023-07-15T00:00:00Z
Yorba Linda California Temple,2,2,1,30872,5.46,NA,NA,NA,361.8,1,Attached,No,2021-04-04,2022-06-18,NA,Location Not Available,CONSTRUCTION,Construction,4138368,yorba-linda-california-temple,,,United States,,United States,39.7837304,-100.445882,Russell M. Nelson,2018-01-14 UTC--2023-07-15 UTC,2018-01-14T00:00:00Z,2023-07-15T00:00:00Z
